,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
12/11/2017,-133075,127950,-446383.3296,243419.152,545300,201567.4533,-173970,-129380,-141400,0,0,0,-100125,-234375,0,0,0,0,0,-124370,-89280,0,0,0,0,273.71,2.74E-06,0.697086578
12/12/2017,399750,255370,1238676.979,735002.5549,522400,402289.7402,-114280,-126680,-53560,0,0,0,-349431.25,157600,0,0,0,0,0,-247700,-262710,0,0,0,0,4552.35,4.55E-05,0.697118311
12/13/2017,399975,255940,1285994.784,727346.5246,515190,403412.1201,-169800,-124880,-54300,0,0,0,-348381.25,157550,0,0,0,0,0,-249080,-262620,0,0,0,0,-29724.45,-0.000297244,0.696911097
12/14/2017,397987.5,255670,1277749.237,725827.8146,512265,402704.867,-171120,-126620,-107360,0,0,0,-101687.5,159300,0,0,0,0,0,-125380,-264360,0,0,0,0,-11968.29,-0.000119683,0.696827688
12/15/2017,400012.5,259120,1229819.82,724963.8267,502320,400000,-57300,-63230,-26120,0,0,0,-102525,160150,0,0,0,0,0,-250860,-266820,0,0,0,0,20228.39,0.000202284,0.696968645
12/18/2017,134725,261410,-446805.649,763452.7245,506025,406574.8556,-171480,-126820,-109800,0,0,0,-308475,-159500,0,0,0,0,0,-252440,-228300,0,0,0,0,-4381.59,-4.38E-05,0.696938107
12/19/2017,402600,260030,1229929.025,754222.973,475920,403933.0322,-172380,-127600,-107680,0,0,0,-313012.5,160062.5,0,0,0,0,0,-252140,-274230,0,0,0,0,-16578.1,-0.000165781,0.696822568
12/20/2017,402225,259560,1282831.19,745303.6812,159000,201587.3016,-174270,-129120,-105480,0,0,0,-369293.75,80443.75,0,0,0,0,0,-253220,-276450,0,0,0,0,16748.01,0.00016748,0.696939272
12/21/2017,134387.5,129845,450739.5787,239784.4029,160620,201182.3877,-175080,-129800,-51960,0,0,0,-320512.5,81075,0,0,0,0,0,-253460,-91970,0,0,0,0,-13452.22,-0.000134522,0.696845518
12/22/2017,134300,129675,394394.9712,238813.0164,159690,201694.7656,-175410,-130500,-53340,0,0,0,-327562.5,81768.75,0,0,0,0,0,-255080,-92300,0,0,0,0,-83642.74,-0.000836427,0.696262658
